Timestamp,t,Value
2026-06-14,0,2026
2026-06-15,1,2025
2026-06-16,2,2024
2026-06-17,3,2023
2026-06-18,4,2022
2026-06-19,5,2021
2026-06-20,6,2020
2026-06-21,7,2019
2026-06-22,8,2018
2026-06-23,9,2017
2026-06-24,10,2016
2026-06-25,11,2015
2026-06-26,12,2014
2026-06-27,13,2013
2026-06-28,14,2012
2026-06-29,15,2011
2026-06-30,16,2010
2026-07-01,17,2009
2026-07-02,18,2008
2026-07-03,19,2007
2026-07-04,20,2006
2026-07-05,21,2005
2026-07-06,22,2004
2026-07-07,23,2003
2026-07-08,24,2002
2026-07-09,25,2001
2026-07-10,26,2000
2026-07-11,27,1999
2026-07-12,28,1998
2026-07-13,29,1997
2026-07-14,30,1996
2026-07-15,31,1995
2026-07-16,32,1994
2026-07-17,33,1993
2026-07-18,34,1992
2026-07-19,35,1991
2026-07-20,36,1990
2026-07-21,37,1989
2026-07-22,38,1988
2026-07-23,39,1987
2026-07-24,40,1986
2026-07-25,41,1985
2026-07-26,42,1984
2026-07-27,43,1983
2026-07-28,44,1982
2026-07-29,45,1981
2026-07-30,46,1980
2026-07-31,47,1979
2026-08-01,48,1978
2026-08-02,49,1977
2026-08-03,50,1976
2026-08-04,51,1975
2026-08-05,52,1974
2026-08-06,53,1973
2026-08-07,54,1972
2026-08-08,55,1971
2026-08-09,56,1970
2026-08-10,57,1969
2026-08-11,58,1968
2026-08-12,59,1967
2026-08-13,60,1966
2026-08-14,61,1965
2026-08-15,62,1964
2026-08-16,63,1963
2026-08-17,64,1962
2026-08-18,65,1961
2026-08-19,66,1960
2026-08-20,67,1959
2026-08-21,68,1958
2026-08-22,69,1957
2026-08-23,70,1956
2026-08-24,71,1955
2026-08-25,72,1954
2026-08-26,73,1953
2026-08-27,74,1952
2026-08-28,75,1951
2026-08-29,76,1950
2026-08-30,77,1927
2026-08-31,78,1900
2026-09-01,79,1850
2026-09-02,80,1804
2026-09-03,81,1760
2026-09-04,82,1700
2026-09-05,83,1650
2026-09-06,84,1500
2026-09-07,85,1400
2026-09-08,86,1200
2026-09-09,87,1100
2026-09-10,88,1000
2026-09-11,89,900
2026-09-12,90,800
2026-09-13,91,700
2026-09-14,92,600
2026-09-15,93,200
2026-09-16,94,200
2026-09-17,95,200
2026-09-18,96,200
2026-09-19,97,200
2026-09-20,98,200
2026-09-21,99,200
